t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
1.49,-57.5144325,-57.5144325,0,0,0.342776005,0.342776005
1.495,-57.4795436,-57.4795436,0,0,0.342712213,0.342712213
1.5,-57.4446435,-57.4446435,0,0,0.342648587,0.342648587
1.505,-57.4097325,-57.4097325,0,0,0.342585127,0.342585127
1.51,-57.374811,-57.374811,0,0,0.342521832,0.342521832
1.515,-57.3398793,-57.3398793,0,0,0.342458702,0.342458702
1.52,-57.3049375,-57.3049375,0,0,0.342395737,0.342395737
1.525,-57.269986,-57.269986,0,0,0.342332935,0.342332935
1.53,-57.2350251,-57.2350251,0,0,0.342270298,0.342270298
1.535,-57.200055,-57.200055,0,0,0.342207825,0.342207825
1.54,-57.165076,-57.165076,0,0,0.342145515,0.342145515
1.545,-57.1300884,-57.1300884,0,0,0.342083368,0.342083368
1.55,-57.0950925,-57.0950925,0,0,0.342021383,0.342021383
1.555,-57.0600884,-57.0600884,0,0,0.341959562,0.341959562
1.56,-57.0250765,-57.0250765,0,0,0.341897902,0.341897902
1.565,-56.9900571,-56.9900571,0,0,0.341836404,0.341836404
1.57,-56.9550304,-56.9550304,0,0,0.341775068,0.341775068
1.575,-56.9199966,-56.9199966,0,0,0.341713893,0.341713893
1.58,-56.884956,-56.884956,0,0,0.341652879,0.341652879
1.585,-56.8499089,-56.8499089,0,0,0.341592026,0.341592026
1.59,-56.8148556,-56.8148556,0,0,0.341531333,0.341531333
1.595,-56.7797962,-56.7797962,0,0,0.3414708,0.3414708
1.6,-56.744731,-56.744731,0,0,0.341410427,0.341410427
1.605,-56.7096603,-56.7096603,0,0,0.341350214,0.341350214
1.61,-56.6745843,-56.6745843,0,0,0.341290159,0.341290159
1.615,-56.6395033,-56.6395033,0,0,0.341230264,0.341230264
1.62,-56.6044175,-56.6044175,0,0,0.341170527,0.341170527
1.625,-56.5893144,-56.5893144,0,0,0.341110948,0.341110948
1.63,-56.5770055,-56.5770055,0,0,0.341051527,0.341051527
1.635,-56.5645796,-56.5645796,0,0,0.340992264,0.340992264
1.64,-56.5520374,-56.5520374,0,0,0.340933159,0.340933159
1.645,-56.5393796,-56.5393796,0,0,0.34087421,0.34087421
1.65,-56.5266068,-56.5266068,0,0,0.340815419,0.340815419
1.655,-56.5137198,-56.5137198,0,0,0.340756784,0.340756784
1.66,-56.5007191,-56.5007191,0,0,0.340698306,0.340698306
1.665,-56.4876056,-56.4876056,0,0,0.340639984,0.340639984
1.67,-56.4743798,-56.4743798,0,0,0.340581817,0.340581817
1.675,-56.4610424,-56.4610424,0,0,0.340523806,0.340523806
1.68,-56.447594,-56.447594,0,0,0.340465951,0.340465951
1.685,-56.4340354,-56.4340354,0,0,0.34040825,0.34040825
1.69,-56.4203672,-56.4203672,0,0,0.340350704,0.340350704
1.695,-56.40659,-56.40659,0,0,0.340293313,0.340293313
1.7,-56.3927044,-56.3927044,0,0,0.340236076,0.340236076
1.705,-56.3787112,-56.3787112,0,0,0.340178993,0.340178993
1.71,-56.364611,-56.364611,0,0,0.340122063,0.340122063
1.715,-56.3504043,-56.3504043,0,0,0.340065288,0.340065288
1.72,-56.3360919,-56.3360919,0,0,0.340008665,0.340008665
1.725,-56.3216744,-56.3216744,0,0,0.339952195,0.339952195
1.73,-56.3071524,-56.3071524,0,0,0.339895878,0.339895878
1.735,-56.2925265,-56.2925265,0,0,0.339839713,0.339839713
1.74,-56.2777973,-56.2777973,0,0,0.3397837,0.3397837
1.745,-56.2629655,-56.2629655,0,0,0.339727839,0.339727839
1.75,-56.2480318,-56.2480318,0,0,0.33967213,0.33967213
1.755,-56.2329966,-56.2329966,0,0,0.339616572,0.339616572
1.76,-56.2178606,-56.2178606,0,0,0.339561165,0.339561165
1.765,-56.2026244,-56.2026244,0,0,0.339505909,0.339505909
1.77,-56.1872886,-56.1872886,0,0,0.339450803,0.339450803
1.775,-56.1718539,-56.1718539,0,0,0.339395848,0.339395848
1.78,-56.1563208,-56.1563208,0,0,0.339341043,0.339341043
1.785,-56.14069,-56.14069,0,0,0.339286387,0.339286387
1.79,-56.1249619,-56.1249619,0,0,0.339231882,0.339231882
1.795,-56.1091373,-56.1091373,0,0,0.339177525,0.339177525
1.8,-56.0932166,-56.0932166,0,0,0.339123317,0.339123317
1.805,-56.0772005,-56.0772005,0,0,0.339069259,0.339069259
1.81,-56.0610896,-56.0610896,0,0,0.339015348,0.339015348
1.815,-56.0448844,-56.0448844,0,0,0.338961586,0.338961586
1.82,-56.0285856,-56.0285856,0,0,0.338907972,0.338907972
1.825,-56.0121936,-56.0121936,0,0,0.338854506,0.338854506
1.83,-55.9957091,-55.9957091,0,0,0.338801187,0.338801187
1.835,-55.9791326,-55.9791326,0,0,0.338748015,0.338748015
1.84,-55.9624647,-55.9624647,0,0,0.338694991,0.338694991
1.845,-55.945706,-55.945706,0,0,0.338642113,0.338642113
1.85,-55.928857,-55.928857,0,0,0.338589382,0.338589382
1.855,-55.9119182,-55.9119182,0,0,0.338536797,0.338536797
1.86,-55.8948903,-55.8948903,0,0,0.338484357,0.338484357
1.865,-55.8777737,-55.8777737,0,0,0.338432064,0.338432064
1.87,-55.8605691,-55.8605691,0,0,0.338379916,0.338379916
