t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
1.33,833.280623,0,646.555663,585.701844,0,393.091631,0,0,0,22,2.08815076,0
1.335,836.208399,0,648.519728,585.408728,0,392.534419,0,0,0,22,2.08655813,0
1.34,839.13471,0,650.481011,585.115784,0,391.978509,0,0,0,22,2.08496831,0
1.345,842.059557,0,652.439517,584.823012,0,391.423897,0,0,0,22,2.08338129,0
1.35,844.982941,0,654.395253,584.530412,0,390.870579,0,0,0,22,2.08179705,0
1.355,847.904862,0,656.348226,584.237984,0,390.318552,0,0,0,22,2.08021561,0
1.36,850.825321,0,658.298442,583.945729,0,389.767812,0,0,0,22,2.07863693,0
1.365,853.744319,0,660.245907,583.653645,0,389.218356,0,0,0,22,2.07706102,0
1.37,856.661858,0,662.190628,583.361735,0,388.670179,0,0,0,22,2.07548788,0
1.375,859.577937,0,664.132612,583.069996,0,388.123279,0,0,0,22,2.07391748,0
1.38,862.492558,0,666.071864,582.778431,0,387.577652,0,0,0,22,2.07234983,0
1.385,865.405722,0,668.008392,582.487038,0,387.033295,0,0,0,22,2.07078491,0
1.39,868.317429,0,669.9422,582.195818,0,386.490203,0,0,0,22,2.06922272,0
1.395,871.227681,0,671.873297,581.904771,0,385.948374,0,0,0,22,2.06766326,0
1.4,874.136477,0,673.801687,581.613897,0,385.407804,0,0,0,22,2.0661065,0
1.405,877.04382,0,675.727378,581.323196,0,384.86849,0,0,0,22,2.06455245,0
1.41,879.94971,0,677.650375,581.032668,0,384.330428,0,0,0,22,2.0630011,0
1.415,882.854147,0,679.570685,580.742314,0,383.793614,0,0,0,22,2.06145244,0
1.42,885.757133,0,681.488315,580.452132,0,383.258046,0,0,0,22,2.05990646,0
1.425,888.658669,0,683.403269,580.162125,0,382.723719,0,0,0,22,2.05836315,0
1.43,891.558755,0,685.315555,579.872291,0,382.190631,0,0,0,22,2.05682252,0
1.435,894.457392,0,687.225178,579.58263,0,381.658779,0,0,0,22,2.05528454,0
1.44,897.354582,0,689.132146,579.293143,0,381.128157,0,0,0,22,2.05374921,0
1.445,900.250324,0,691.036463,579.00383,0,380.598765,0,0,0,22,2.05221653,0
