t,track_x,track_y,track_z,tgt_x,tgt_y,tgt_z,track_nis
1.67,0,0,0,8532.4,0,3433.2,0
1.675,0,0,0,8531,0,3433,0
1.68,0,0,0,8529.6,0,3432.8,0
1.685,0,0,0,8528.2,0,3432.6,0
1.69,0,0,0,8526.8,0,3432.4,0
1.695,0,0,0,8525.4,0,3432.2,0
1.7,0,0,0,8524,0,3432,0
1.705,0,0,0,8522.6,0,3431.8,0
1.71,0,0,0,8521.2,0,3431.6,0
1.715,0,0,0,8519.8,0,3431.4,0
1.72,0,0,0,8518.4,0,3431.2,0
1.725,0,0,0,8517,0,3431,0
1.73,0,0,0,8515.6,0,3430.8,0
1.735,0,0,0,8514.2,0,3430.6,0
1.74,0,0,0,8512.8,0,3430.4,0
1.745,0,0,0,8511.4,0,3430.2,0
1.75,0,0,0,8510,0,3430,0
1.755,0,0,0,8508.6,0,3429.8,0
1.76,0,0,0,8507.2,0,3429.6,0
1.765,0,0,0,8505.8,0,3429.4,0
1.77,0,0,0,8504.4,0,3429.2,0
1.775,0,0,0,8503,0,3429,0
1.78,0,0,0,8501.6,0,3428.8,0
1.785,0,0,0,8500.2,0,3428.6,0
1.79,0,0,0,8498.8,0,3428.4,0
1.795,0,0,0,8497.4,0,3428.2,0
1.8,0,0,0,8496,0,3428,0
1.805,0,0,0,8494.6,0,3427.8,0
1.81,0,0,0,8493.2,0,3427.6,0
1.815,0,0,0,8491.8,0,3427.4,0
1.82,0,0,0,8490.4,0,3427.2,0
1.825,0,0,0,8489,0,3427,0
1.83,0,0,0,8487.6,0,3426.8,0
1.835,0,0,0,8486.2,0,3426.6,0
1.84,0,0,0,8484.8,0,3426.4,0
1.845,0,0,0,8483.4,0,3426.2,0
1.85,0,0,0,8482,0,3426,0
1.855,0,0,0,8480.6,0,3425.8,0
1.86,0,0,0,8479.2,0,3425.6,0
1.865,0,0,0,8477.8,0,3425.4,0
1.87,0,0,0,8476.4,0,3425.2,0
1.875,0,0,0,8475,0,3425,0
1.88,0,0,0,8473.6,0,3424.8,0
1.885,0,0,0,8472.2,0,3424.6,0
1.89,0,0,0,8470.8,0,3424.4,0
1.895,0,0,0,8469.4,0,3424.2,0
1.9,0,0,0,8468,0,3424,0
1.905,0,0,0,8466.6,0,3423.8,0
