t,accel_cmd_x,accel_cmd_y,accel_cmd_z,fin_x,fin_y,fin_z,los_angle,los_rate,v_closing,range,nav_x,nav_y,nav_z
4.435,0.227987538,0,-0.673492422,0,0,0,0.326407117,0.000237900722,747.196883,5663.31509,7758.2,0,3322.6
4.44,0.215073137,0,-0.635344724,0,0,0,0.326405961,0.000224503292,746.938149,5659.57975,7756.8,0,3322.4
4.445,0.202183852,0,-0.597270797,0,0,0,0.326404872,0.000211122621,746.679586,5655.84571,7755.4,0,3322.2
4.45,0.18931962,0,-0.559270484,0,0,0,0.326403849,0.00019775868,746.421195,5652.11296,7754,0,3322
4.455,0.176480381,0,-0.521343634,0,0,0,0.326402894,0.000184411439,746.162974,5648.3815,7752.6,0,3321.8
4.46,0.163666074,0,-0.483490092,0,0,0,0.326402005,0.00017108087,745.904924,5644.65133,7751.2,0,3321.6
4.465,0.150876639,0,-0.445709705,0,0,0,0.326401183,0.000157766945,745.647045,5640.92245,7749.8,0,3321.4
4.47,0.138112016,0,-0.408002321,0,0,0,0.326400428,0.000144469634,745.389337,5637.19486,7748.4,0,3321.2
4.475,0.125372144,0,-0.370367787,0,0,0,0.326399738,0.000131188909,745.1318,5633.46855,7747,0,3321
4.48,0.112656962,0,-0.332805951,0,0,0,0.326399116,0.000117924742,744.874434,5629.74354,7745.6,0,3320.8
4.485,0.0999664124,0,-0.29531666,0,0,0,0.326398559,0.000104677105,744.617238,5626.01981,7744.2,0,3320.6
4.49,0.0873004336,0,-0.257899763,0,0,0,0.326398069,9.14459675e-05,744.360213,5622.29737,7742.8,0,3320.4
4.495,0.0746589663,0,-0.220555109,0,0,0,0.326397645,7.82313027e-05,744.103359,5618.57621,7741.4,0,3320.2
4.5,0.0620419511,0,-0.183282546,0,0,0,0.326397286,6.50330818e-05,743.846675,5614.85633,7740,0,3320
4.505,0.0494493284,0,-0.146081923,0,0,0,0.326396994,5.18512763e-05,743.590162,5611.13774,7738.6,0,3319.8
4.51,0.0368810389,0,-0.10895309,0,0,0,0.326396768,3.8685858e-05,743.333819,5607.42043,7737.2,0,3319.6
4.515,0.0243370236,0,-0.0718958954,0,0,0,0.326396607,2.55367986e-05,743.077647,5603.7044,7735.8,0,3319.4
4.52,0.0118172235,0,-0.0349101903,0,0,0,0.326396512,1.24040699e-05,742.821645,5599.98965,7734.4,0,3319.2
4.525,-0.000678420501,0,0.00200417561,0,0,0,0.326396483,7.12356443e-07,742.565814,5596.27618,7733,0,3319
4.53,-0.013149967,0,0.038847352,0,0,0,0.326396519,1.38125085e-05,742.310153,5592.56399,7731.6,0,3318.8
4.535,-0.0255974746,0,0.0756194881,0,0,0,0.326396621,2.68964145e-05,742.054662,5588.85308,7730.2,0,3318.6
4.54,-0.0380210018,0,0.112320733,0,0,0,0.326396788,3.99641026e-05,741.799342,5585.14345,7728.8,0,3318.4
4.545,-0.0504206069,0,0.148951236,0,0,0,0.326397021,5.30156007e-05,741.544192,5581.43509,7727.4,0,3318.2
4.55,-0.0627963482,0,0.185511144,0,0,0,0.326397318,6.60509369e-05,741.289211,5577.728,7726,0,3318
4.555,-0.0751482837,0,0.222000608,0,0,0,0.326397681,7.90701393e-05,741.034401,5574.0222,7724.6,0,3317.8
4.56,-0.0874764713,0,0.258419773,0,0,0,0.326398109,9.20732358e-05,740.779761,5570.31766,7723.2,0,3317.6
4.565,-0.099780969,0,0.294768789,0,0,0,0.326398602,0.000105060254,740.525291,5566.6144,7721.8,0,3317.4
4.57,-0.112061834,0,0.331047803,0,0,0,0.32639916,0.000118031223,740.270991,5562.91241,7720.4,0,3317.2
4.575,-0.124319125,0,0.367256961,0,0,0,0.326399782,0.000130986169,740.016861,5559.21169,7719,0,3317
4.58,-0.136552898,0,0.403396411,0,0,0,0.326400469,0.000143925121,739.762901,5555.51224,7717.6,0,3316.8
