t,x,y,z,vx,vy,vz
2.23,8375.6,0,3410.8,-280,0,-40
2.235,8374.2,0,3410.6,-280,0,-40
2.24,8372.8,0,3410.4,-280,0,-40
2.245,8371.4,0,3410.2,-280,0,-40
2.25,8370,0,3410,-280,0,-40
2.255,8368.6,0,3409.8,-280,0,-40
2.26,8367.2,0,3409.6,-280,0,-40
2.265,8365.8,0,3409.4,-280,0,-40
2.27,8364.4,0,3409.2,-280,0,-40
2.275,8363,0,3409,-280,0,-40
2.28,8361.6,0,3408.8,-280,0,-40
2.285,8360.2,0,3408.6,-280,0,-40
2.29,8358.8,0,3408.4,-280,0,-40
2.295,8357.4,0,3408.2,-280,0,-40
2.3,8356,0,3408,-280,0,-40
2.305,8354.6,0,3407.8,-280,0,-40
2.31,8353.2,0,3407.6,-280,0,-40
2.315,8351.8,0,3407.4,-280,0,-40
2.32,8350.4,0,3407.2,-280,0,-40
2.325,8349,0,3407,-280,0,-40
2.33,8347.6,0,3406.8,-280,0,-40
2.335,8346.2,0,3406.6,-280,0,-40
2.34,8344.8,0,3406.4,-280,0,-40
2.345,8343.4,0,3406.2,-280,0,-40
2.35,8342,0,3406,-280,0,-40
2.355,8340.6,0,3405.8,-280,0,-40
2.36,8339.2,0,3405.6,-280,0,-40
2.365,8337.8,0,3405.4,-280,0,-40
2.37,8336.4,0,3405.2,-280,0,-40
2.375,8335,0,3405,-280,0,-40
2.38,8333.6,0,3404.8,-280,0,-40
2.385,8332.2,0,3404.6,-280,0,-40
2.39,8330.8,0,3404.4,-280,0,-40
2.395,8329.4,0,3404.2,-280,0,-40
2.4,8328,0,3404,-280,0,-40
2.405,8326.6,0,3403.8,-280,0,-40
2.41,8325.2,0,3403.6,-280,0,-40
2.415,8323.8,0,3403.4,-280,0,-40
2.42,8322.4,0,3403.2,-280,0,-40
2.425,8321,0,3403,-280,0,-40
2.43,8319.6,0,3402.8,-280,0,-40
2.435,8318.2,0,3402.6,-280,0,-40
2.44,8316.8,0,3402.4,-280,0,-40
2.445,8315.4,0,3402.2,-280,0,-40
2.45,8314,0,3402,-280,0,-40
2.455,8312.6,0,3401.8,-280,0,-40
2.46,8311.2,0,3401.6,-280,0,-40
2.465,8309.8,0,3401.4,-280,0,-40
2.47,8308.4,0,3401.2,-280,0,-40
2.475,8307,0,3401,-280,0,-40
2.48,8305.6,0,3400.8,-280,0,-40
2.485,8304.2,0,3400.6,-280,0,-40
2.49,8302.8,0,3400.4,-280,0,-40
2.495,8301.4,0,3400.2,-280,0,-40
2.5,8300,0,3400,-280,0,-40
2.505,8298.6,0,3399.8,-280,0,-40
2.51,8297.2,0,3399.6,-280,0,-40
2.515,8295.8,0,3399.4,-280,0,-40
2.52,8294.4,0,3399.2,-280,0,-40
2.525,8293,0,3399,-280,0,-40
2.53,8291.6,0,3398.8,-280,0,-40
2.535,8290.2,0,3398.6,-280,0,-40
2.54,8288.8,0,3398.4,-280,0,-40
2.545,8287.4,0,3398.2,-280,0,-40
2.55,8286,0,3398,-280,0,-40
2.555,8284.6,0,3397.8,-280,0,-40
2.56,8283.2,0,3397.6,-280,0,-40
2.565,8281.8,0,3397.4,-280,0,-40
2.57,8280.4,0,3397.2,-280,0,-40
2.575,8279,0,3397,-280,0,-40
